9.999999999999999547e-08	1.000000000000000000e+00	2.312183000000000003e+54	8.379861000000000835e+53	1.064246999999999989e+54	3.703171999999999887e+47	1.342111000000000082e+47	1.704488000000000038e+47
1.000000000000000000e+00	2.500000000000000000e+00	1.589994999999999876e+55	5.732382999999999888e+54	7.435916999999999609e+54	4.026306999999999779e+49	1.451598000000000109e+49	1.882980000000000069e+49
2.500000000000000000e+00	4.500000000000000000e+00	6.542839000000000428e+55	2.233526999999999872e+55	2.088741999999999954e+55	3.514719000000000202e+50	1.199818999999999930e+50	1.122041999999999953e+50
4.500000000000000000e+00	7.000000000000000000e+00	1.448159000000000055e+56	6.000436999999999875e+55	3.547478999999999943e+55	1.301724999999999984e+51	5.393686999999999903e+50	3.188766000000000144e+50
7.000000000000000000e+00	1.000000000000000000e+01	1.910418000000000061e+56	1.059443999999999988e+56	4.511932999999999879e+55	2.559929999999999981e+51	1.419637000000000029e+51	6.045918000000000304e+50
1.000000000000000000e+01	1.400000000000000000e+01	1.625081000000000043e+56	1.263703999999999935e+56	4.782655999999999827e+55	3.079662000000000321e+51	2.394823000000000142e+51	9.063527000000000307e+50
1.400000000000000000e+01	1.900000000000000000e+01	8.996571000000000521e+55	9.725804999999999833e+55	4.094015000000000109e+55	2.349965000000000010e+51	2.540444999999999986e+51	1.069383999999999924e+51
1.900000000000000000e+01	2.500000000000000000e+01	3.486730999999999945e+55	4.857561000000000026e+55	2.758478000000000204e+55	1.217061999999999937e+51	1.695556999999999844e+51	9.628615000000000341e+50
2.500000000000000000e+01	3.200000000000000000e+01	1.083607000000000051e+55	1.746140999999999922e+55	1.473772999999999926e+55	4.908632999999999851e+50	7.909844999999999389e+50	6.676043999999999796e+50
3.200000000000000000e+01	4.000000000000000000e+01	3.203750999999999978e+54	5.408430000000000318e+54	6.566810999999999445e+54	1.835731999999999976e+50	3.099002000000000061e+50	3.762747999999999724e+50
4.000000000000000000e+01	4.800000000000000000e+01	1.068458999999999925e+54	1.811191999999999867e+54	2.767171999999999857e+54	7.498229000000000466e+49	1.271057999999999985e+50	1.941944999999999829e+50
4.800000000000000000e+01	5.800000000000000000e+01	3.386091999999999870e+53	5.729763000000000393e+53	1.057634999999999959e+54	2.861411999999999836e+49	4.841927000000000139e+49	8.937525999999999738e+49
5.800000000000000000e+01	6.800000000000000000e+01	1.209177000000000092e+53	2.023393999999999907e+53	4.167689000000000339e+53	1.216207000000000023e+49	2.035156000000000068e+49	4.191915999999999913e+49
6.800000000000000000e+01	8.000000000000000000e+01	4.168259999999999997e+52	6.862765000000000273e+52	1.576970999999999954e+53	4.923840000000000061e+48	8.106779000000000529e+48	1.862828000000000109e+49
8.000000000000000000e+01	9.500000000000000000e+01	1.369501999999999990e+52	2.200939999999999868e+52	5.582726000000000340e+52	1.912149000000000052e+48	3.073034000000000030e+48	7.794810000000000052e+48
9.500000000000000000e+01	1.150000000000000000e+02	4.114041999999999707e+51	6.395219000000000579e+51	1.807565000000000005e+52	6.886817999999999595e+47	1.070546000000000010e+48	3.025824999999999779e+48
1.150000000000000000e+02	1.450000000000000000e+02	1.050154000000000000e+51	1.555935999999999852e+51	5.002524000000000245e+51	2.171843999999999843e+47	3.217861999999999835e+47	1.034582000000000036e+48
1.450000000000000000e+02	1.850000000000000000e+02	2.549914999999999943e+50	3.532712000000000029e+50	1.334377000000000054e+51	6.688739000000000403e+46	9.266733000000000012e+46	3.500233999999999803e+47
1.850000000000000000e+02	2.350000000000000000e+02	6.119537999999999731e+49	7.775755000000000457e+49	3.584099000000000190e+50	2.043597999999999894e+46	2.596687000000000150e+46	1.196897000000000093e+47
2.350000000000000000e+02	3.000000000000000000e+02	1.361645999999999922e+49	1.533755000000000039e+49	9.219865999999999649e+49	5.790479999999999444e+45	6.522381999999999466e+45	3.920803000000000064e+46
