time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
-0.05 	 0.0050000000000000044 	 31.696666666666665 	 31.38 	 5.531544891699686 	 5.519263235855549
-0.045 	 0.005000000000000001 	 31.24 	 30.96 	 5.418093145501777 	 5.352731389985242
-0.04 	 0.0049999999999999975 	 29.446666666666665 	 29.17 	 5.0259813856488655 	 5.023388630529529
-0.035 	 0.005000000000000001 	 27.546666666666667 	 27.173333333333332 	 5.3436400411039005 	 5.303139531342627
-0.03 	 0.005000000000000001 	 25.403333333333332 	 25.113333333333333 	 5.101697974422067 	 5.072851488287649
-0.025 	 0.004999999999999999 	 22.456666666666667 	 22.086666666666666 	 4.851953787450531 	 4.844841472008025
-0.02 	 0.005000000000000001 	 19.313333333333333 	 19.013333333333332 	 4.505014490049455 	 4.465402806267562
-0.015 	 0.005 	 17.08 	 16.816666666666666 	 4.2473835083103415 	 4.203536870567715
-0.01 	 0.004999999999999999 	 15.28 	 15.036666666666667 	 4.169124608356052 	 4.059801582453124
-0.005 	 0.005 	 15.726666666666667 	 15.433333333333334 	 3.9156041111884075 	 3.8934417793115754
0.0 	 0.003 	 19.826666666666668 	 19.516666666666666 	 4.410966132518161 	 4.343929352812062
0.001 	 0.001 	 21.15 	 20.736666666666668 	 4.453556631128279 	 4.425003452603801
0.002 	 0.001 	 22.286666666666665 	 21.993333333333332 	 4.628659513173213 	 4.588386305542385
0.003 	 0.001 	 24.036666666666665 	 23.613333333333333 	 4.65639226106316 	 4.640095784451964
0.004 	 0.001 	 25.873333333333335 	 25.52 	 5.245056932219346 	 5.218198923000157
0.005 	 0.001 	 27.963333333333335 	 27.6 	 5.573328349280068 	 5.577335086460797
0.006 	 0.001 	 31.44 	 31.03 	 5.533510037339169 	 5.454884661169902
0.007 	 0.001 	 34.64666666666667 	 34.2 	 5.82653317924895 	 5.766570326748242
0.008 	 0.0009999999999999996 	 38.61666666666667 	 38.07666666666667 	 5.561449651145124 	 5.509760027038887
0.009 	 0.001 	 43.123333333333335 	 42.46666666666667 	 6.329411943897755 	 6.272869270827257
0.01 	 0.001 	 49.45333333333333 	 48.79 	 6.960446984369769 	 6.848788213983552
0.011 	 0.001 	 55.38666666666666 	 54.593333333333334 	 7.372278405546612 	 7.394228980916281
0.012 	 0.001 	 62.63333333333333 	 61.77 	 7.5121383255516685 	 7.458581187687999
0.013 	 0.001 	 70.69 	 69.82666666666667 	 8.874715018898728 	 8.874868387130531
0.014 	 0.001 	 82.19333333333333 	 81.25333333333333 	 9.30533658117152 	 9.249639031995908
0.015 	 0.001 	 94.76333333333334 	 93.61666666666666 	 9.707762644170673 	 9.562934812191402
0.016 	 0.0010000000000000009 	 115.04333333333334 	 113.75333333333333 	 10.938073667495367 	 11.01358958539656
0.017 	 0.0009999999999999992 	 145.07 	 143.56 	 12.835566472371474 	 12.766090500488655
0.018 	 0.0009999999999999992 	 188.52 	 186.81 	 14.326069477238573 	 14.27377198454097
0.019 	 0.0010000000000000009 	 250.26 	 248.18666666666667 	 15.923119459871339 	 15.849032217211947
