-5.00E-02
2.50E+01	3.20E+01	1.29E+47	1.59E+42	6.40E+41	5.86E+42	7.18E+37	2.90E+37			
3.20E+01	4.00E+01	3.63E+43	7.08E+38	3.52E+38	2.08E+39	4.06E+34	2.02E+34			
4.00E+01	4.80E+01	5.59E+39	1.99E+35	1.36E+35	3.92E+35	1.39E+31	9.54E+30			
4.80E+01	5.80E+01	2.19E+35	1.27E+31	9.77E+30	1.85E+31	1.08E+27	8.25E+26			
5.80E+01	6.80E+01	3.42E+30	6.03E+26	4.49E+26	3.44E+26	6.07E+22	4.52E+22			
6.80E+01	8.00E+01	3.16E+26	2.93E+26	6.90E+25	3.74E+22	3.46E+22	8.15E+21			
8.00E+01	9.50E+01	4.69E+26	4.68E+26	9.88E+25	6.55E+22	6.53E+22	1.38E+22			
9.50E+01	1.15E+02	8.08E+26	8.03E+26	1.68E+26	1.35E+23	1.34E+23	2.81E+22			
1.15E+02	1.45E+02	1.53E+27	1.52E+27	3.18E+26	3.17E+23	3.14E+23	6.58E+22			
1.45E+02	1.85E+02	3.13E+27	3.09E+27	6.50E+26	8.20E+23	8.09E+23	1.71E+23			
1.85E+02	2.35E+02	6.44E+27	6.32E+27	1.34E+27	2.15E+24	2.11E+24	4.48E+23			
2.35E+02	3.00E+02	1.31E+28	1.28E+28	2.73E+27	5.58E+24	5.44E+24	1.16E+24			
										
-3.50E-02										
0.00E+00	1.00E+00	2.87E+54	9.65E+52	3.61E+50	4.59E+47	1.55E+46	5.79E+43			
1.00E+00	2.50E+00	1.47E+55	3.05E+52	1.55E+51	3.72E+49	7.73E+46	3.92E+45			
2.50E+00	4.50E+00	4.02E+55	7.33E+51	9.82E+50	2.16E+50	3.94E+46	5.28E+45			
4.50E+00	7.00E+00	3.84E+55	1.42E+51	2.95E+50	3.45E+50	1.28E+46	2.66E+45			
7.00E+00	1.00E+01	1.53E+55	1.88E+50	5.08E+49	2.05E+50	2.52E+45	6.81E+44			
1.00E+01	1.40E+01	2.27E+54	1.18E+49	3.77E+48	4.31E+49	2.23E+44	7.14E+43			
1.40E+01	1.90E+01	4.46E+52	2.36E+47	8.02E+46	1.17E+48	6.15E+42	2.09E+42			
1.90E+01	2.50E+01	1.96E+50	1.38E+45	5.04E+44	6.85E+45	4.83E+40	1.76E+40			
2.50E+01	3.20E+01	2.20E+47	2.34E+42	9.94E+41	9.96E+42	1.06E+38	4.50E+37			
3.20E+01	4.00E+01	6.67E+43	1.16E+39	6.18E+38	3.82E+39	6.66E+34	3.54E+34			
4.00E+01	4.80E+01	1.14E+40	3.75E+35	2.86E+35	8.00E+35	2.63E+31	2.01E+31			
4.80E+01	5.80E+01	4.81E+35	2.58E+31	2.19E+31	4.06E+31	2.18E+27	1.85E+27			
5.80E+01	6.80E+01	8.50E+30	1.17E+27	1.16E+27	8.55E+26	1.18E+23	1.17E+23			
6.80E+01	8.00E+01	3.44E+26	2.97E+26	7.31E+25	4.06E+22	3.51E+22	8.63E+21			
8.00E+01	9.50E+01	4.71E+26	4.69E+26	9.95E+25	6.57E+22	6.54E+22	1.39E+22			
9.50E+01	1.15E+02	8.09E+26	8.05E+26	1.68E+26	1.35E+23	1.35E+23	2.82E+22			
1.15E+02	1.45E+02	1.53E+27	1.52E+27	3.19E+26	3.17E+23	3.14E+23	6.59E+22			
1.45E+02	1.85E+02	3.13E+27	3.09E+27	6.51E+26	8.22E+23	8.11E+23	1.71E+23			
1.85E+02	2.35E+02	6.45E+27	6.33E+27	1.34E+27	2.15E+24	2.11E+24	4.48E+23			
2.35E+02	3.00E+02	1.32E+28	1.28E+28	2.74E+27	5.60E+24	5.45E+24	1.16E+24			
										
-3.00E-02										
0.00E+00	1.00E+00	2.63E+54	1.01E+53	1.89E+50	4.22E+47	1.61E+46	3.02E+43			
1.00E+00	2.50E+00	1.44E+55	3.39E+52	1.56E+51	3.66E+49	8.59E+46	3.94E+45			
2.50E+00	4.50E+00	4.04E+55	7.88E+51	9.90E+50	2.17E+50	4.23E+46	5.32E+45			
4.50E+00	7.00E+00	4.02E+55	1.51E+51	3.00E+50	3.61E+50	1.35E+46	2.69E+45			
7.00E+00	1.00E+01	1.90E+55	2.03E+50	5.34E+49	2.54E+50	2.72E+45	7.16E+44			
1.00E+01	1.40E+01	3.40E+54	1.35E+49	4.33E+48	6.45E+49	2.56E+44	8.20E+43			
1.40E+01	1.90E+01	7.55E+52	2.97E+47	1.04E+47	1.97E+48	7.76E+42	2.73E+42			
1.90E+01	2.50E+01	3.50E+50	1.96E+45	7.52E+44	1.22E+46	6.83E+40	2.63E+40			
2.50E+01	3.20E+01	4.20E+47	3.75E+42	1.71E+42	1.90E+43	1.70E+38	7.76E+37			
3.20E+01	4.00E+01	1.39E+44	2.11E+39	1.23E+39	7.99E+39	1.21E+35	7.07E+34			
4.00E+01	4.80E+01	2.70E+40	8.04E+35	7.13E+35	1.90E+36	5.64E+31	5.00E+31			
4.80E+01	5.80E+01	1.26E+36	6.08E+31	5.94E+31	1.06E+32	5.14E+27	5.02E+27			
5.80E+01	6.80E+01	2.62E+31	3.01E+27	3.95E+27	2.63E+27	3.03E+23	3.97E+23			
6.80E+01	8.00E+01	4.50E+26	3.01E+26	7.97E+25	5.32E+22	3.55E+22	9.41E+21			
8.00E+01	9.50E+01	4.72E+26	4.69E+26	1.00E+26	6.59E+22	6.55E+22	1.40E+22			
9.50E+01	1.15E+02	8.10E+26	8.05E+26	1.69E+26	1.36E+23	1.35E+23	2.82E+22			
1.15E+02	1.45E+02	1.53E+27	1.52E+27	3.19E+26	3.17E+23	3.15E+23	6.59E+22			
1.45E+02	1.85E+02	3.13E+27	3.09E+27	6.51E+26	8.22E+23	8.11E+23	1.71E+23			
1.85E+02	2.35E+02	6.46E+27	6.33E+27	1.34E+27	2.16E+24	2.11E+24	4.48E+23			
2.35E+02	3.00E+02	1.32E+28	1.28E+28	2.74E+27	5.60E+24	5.46E+24	1.17E+24			
										
-2.50E-02										
0.00E+00	1.00E+00	2.46E+54	1.05E+53	1.11E+50	3.93E+47	1.68E+46	1.77E+43			
1.00E+00	2.50E+00	1.42E+55	3.74E+52	1.56E+51	3.60E+49	9.46E+46	3.95E+45			
2.50E+00	4.50E+00	4.11E+55	8.63E+51	9.93E+50	2.21E+50	4.63E+46	5.34E+45			
4.50E+00	7.00E+00	4.31E+55	1.62E+51	3.04E+50	3.88E+50	1.45E+46	2.73E+45			
7.00E+00	1.00E+01	2.42E+55	2.23E+50	5.66E+49	3.24E+50	2.99E+45	7.58E+44			
1.00E+01	1.40E+01	5.35E+54	1.58E+49	5.05E+48	1.01E+50	3.00E+44	9.57E+43			
1.40E+01	1.90E+01	1.41E+53	3.92E+47	1.44E+47	3.69E+48	1.02E+43	3.75E+42			
1.90E+01	2.50E+01	6.95E+50	2.97E+45	1.23E+45	2.43E+46	1.04E+41	4.30E+40			
2.50E+01	3.20E+01	9.06E+47	6.58E+42	3.36E+42	4.10E+43	2.98E+38	1.52E+38			
