-5.000000000000000278e-02	1.143972167729541214e+56	1.201457996669138263e+53	6.083907786085452742e+51	7.931503609034188127e+50	1.227686920522322065e+47	1.249342458843171050e+46
-4.499999999999999833e-02	1.109590251847373610e+56	1.254329303332869216e+53	4.381483842543599668e+51	7.801333227795384063e+50	1.298114571918348413e+47	1.246144359065166736e+46
-4.000000000000000083e-02	1.109326279014673337e+56	1.304442081895012146e+53	3.601429791889888089e+51	7.994146317403486578e+50	1.378668025027918465e+47	1.254701832219550901e+46
-3.500000000000000333e-02	1.138436618568251206e+56	1.360369364657263147e+53	3.242327411400895119e+51	8.485237954327737916e+50	1.477235748497196195e+47	1.266474478205887246e+46
-2.999999999999999889e-02	1.201639390977183123e+56	1.442540751106815197e+53	3.093269677898020509e+51	9.360098828489734383e+50	1.608751118505996353e+47	1.278498650642709319e+46
-2.500000000000000139e-02	1.305781460182474814e+56	1.529716867432560972e+53	3.029950369598559325e+51	1.073995217369358761e+51	1.756217178359883851e+47	1.289264546139973200e+46
-2.000000000000000042e-02	1.468809134651099889e+56	1.586934282740635047e+53	2.999523214859058419e+51	1.288244077512214445e+51	1.893496983936119705e+47	1.297587597136846099e+46
-1.499999999999999944e-02	1.718317443788240281e+56	1.624629070046162332e+53	2.976961295862230518e+51	1.616512820691328635e+51	2.035535101921522137e+47	1.302567544880480032e+46
-1.000000000000000021e-02	2.077027362801800412e+56	1.670845527095267915e+53	2.950784050987152657e+51	2.089561833279471447e+51	2.212505731820805030e+47	1.302284997369271635e+46
-5.000000000000000104e-03	2.601344977638845826e+56	1.749741150563160690e+53	2.912599837728344348e+51	2.781942089857711066e+51	2.467123284223386972e+47	1.293344066586817727e+46
0.000000000000000000e+00	3.450133284772760004e+56	1.827732305898497349e+53	2.859940068479247669e+51	3.900089877006686433e+51	2.763735621943247042e+47	1.271583451254861522e+46
1.000000000000000021e-03	3.689972949195307043e+56	1.838842781129732399e+53	2.849794372558468765e+51	4.213316986004027965e+51	2.824453356586416897e+47	1.265665644354507276e+46
2.000000000000000042e-03	3.965211791897656053e+56	1.847621754951021425e+53	2.841973411616643643e+51	4.570472606506257188e+51	2.885892132685996715e+47	1.259517645658310994e+46
3.000000000000000062e-03	4.283476790990687872e+56	1.853453656759610722e+53	2.839447650743209332e+51	4.980129016370470084e+51	2.947888591834314796e+47	1.253534652616488636e+46
4.000000000000000083e-03	4.653697057770054006e+56	1.855596283663687202e+53	2.849014306465707412e+51	5.452269179101182495e+51	3.009918709996663191e+47	1.248694204769319427e+46
5.000000000000000104e-03	5.085876519992398220e+56	1.853215878556816954e+53	2.887719752859348916e+51	5.998225520229789139e+51	3.071436621510164466e+47	1.247648282678554847e+46
6.000000000000000125e-03	5.589182362742187475e+56	1.845213907529761121e+53	3.002688523378204284e+51	6.629040706225324594e+51	3.131164221942526892e+47	1.258207178828257131e+46
7.000000000000000146e-03	6.169211650563254724e+56	1.830686506404868603e+53	3.354295432474215597e+51	7.353021107820510609e+51	3.187919304626354882e+47	1.316132890443059152e+46
8.000000000000000167e-03	6.822376862136782643e+56	1.811822989821955834e+53	5.295260433481141674e+51	8.169503400061435351e+51	3.271871080424675204e+47	2.381758503164686623e+46
8.999999999999999320e-03	7.531043966338505532e+56	1.853510615324834930e+53	2.722866719382330048e+52	9.063192827953495485e+51	4.131156298104181609e+47	2.484187552630758935e+47
1.000000000000000021e-02	8.266793368918215457e+56	2.456881465155685404e+53	2.008739060846547211e+53	1.000952352356687218e+52	1.199579668732582411e+48	2.458338543184495787e+48
1.099999999999999936e-02	9.023169748644010147e+56	5.446076552075900053e+53	1.002860385930783957e+54	1.102776222705490976e+52	5.120411141365769857e+48	1.412627635284866277e+49
1.200000000000000025e-02	9.875747410923204482e+56	1.459267484433106613e+54	3.411942716965099599e+54	1.227976245274302976e+52	1.754679440991868555e+49	5.306802266591020871e+49
1.299999999999999940e-02	1.099226605350306649e+57	3.473756249015964416e+54	8.602265302561987390e+54	1.408282084220078650e+52	4.585131111223152488e+49	1.445431079580002450e+50
1.400000000000000029e-02	1.254537657003165526e+57	7.022334049992473068e+54	1.736010968729611900e+55	1.675150994521951988e+52	9.719019071619952630e+49	3.108576585181702172e+50
1.499999999999999944e-02	1.459664215509034046e+57	1.239313990171804932e+55	2.966088476741208954e+55	2.038236652387645217e+52	1.768835219695410886e+50	5.596466908639020861e+50
1.600000000000000033e-02	1.704103433303011049e+57	1.975953057140999516e+55	4.472047193713852166e+55	2.475656079046641787e+52	2.886714517297768875e+50	8.816576476382332984e+50
1.700000000000000122e-02	1.963978577927311646e+57	2.921888427024128093e+55	6.132572706321084259e+55	2.940747023400917311e+52	4.351566748913410185e+50	1.253724842473317374e+51
1.799999999999999864e-02	2.211592280214348667e+57	4.093849373788119765e+55	7.832817436422130102e+55	3.380719633122765735e+52	6.202041058163400849e+50	1.650592464988046969e+51
1.899999999999999953e-02	2.423674739905367696e+57	5.506809580425701436e+55	9.488980843453134070e+55	3.752560070532769240e+52	8.475270797180003388e+50	2.052299597310829793e+51
2.000000000000000042e-02	2.585579048639552462e+57	7.174357705202100003e+55	1.105700077133828135e+56	4.030754194074472203e+52	1.120758305567700484e+51	2.443418738558050822e+51
2.100000000000000130e-02	2.692475152558729628e+57	9.097965045970001400e+55	1.252976406800887964e+56	4.208749234095247847e+52	1.441512946772708958e+51	2.813457706225709727e+51
2.199999999999999872e-02	2.746812153228663871e+57	1.126238091947526252e+56	1.392788754751909623e+56	4.293566566103989652e+52	1.808502769871223606e+51	3.160484975077999922e+51
2.299999999999999961e-02	2.756165005386408841e+57	1.362797704861988435e+56	1.528614857491000284e+56	4.301113660652719081e+52	2.215946711526628481e+51	3.490181939679999544e+51
2.400000000000000050e-02	2.730159211431137851e+57	1.613277690853688894e+56	1.664012178449999986e+56	4.250198857028220360e+52	2.653663157043525984e+51	3.812701108699999606e+51
2.500000000000000139e-02	2.678157457106819814e+57	1.869683371242848832e+56	1.801425852349999907e+56	4.157967975264800720e+52	3.107806507155413487e+51	4.137784109200000704e+51
2.599999999999999881e-02	2.608745892628300018e+57	2.122873821363017552e+56	1.941445574479999558e+56	4.039110303363999095e+52	3.561619121386897851e+51	4.468817883100000389e+51
2.699999999999999969e-02	2.528922337184299718e+57	2.363773233722959616e+56	2.082710897190000063e+56	3.904688638034999007e+52	3.997804164069899572e+51	4.803534928400000086e+51
2.800000000000000058e-02	2.443684261131999798e+57	2.584469866577790297e+56	2.222182954500000552e+56	3.762089382992003765e+52	4.400751697104000312e+51	5.135457986899999923e+51
2.900000000000000147e-02	2.356778862020102425e+57	2.779861868013149681e+56	2.356327391400000068e+56	3.616590184420101590e+52	4.759630053416000741e+51	5.456409743799999383e+51
2.999999999999999889e-02	2.270860318688274989e+57	2.946770121554750663e+56	2.481732378800000543e+56	3.472045960192522920e+52	5.067379778473999607e+51	5.758220438599998441e+51
3.099999999999999978e-02	2.187839152767305591e+57	3.084819960352400525e+56	2.596163477099999622e+56	3.331580981293625063e+52	5.322115286254000144e+51	6.035344127700000519e+51
3.200000000000000067e-02	2.109133744352298248e+57	3.195172882423300084e+56	2.698947009300000210e+56	3.197875414872557762e+52	5.525134433905999612e+51	6.285790186199998911e+51
3.300000000000000155e-02	2.035483932719405352e+57	3.280133201937899713e+56	2.790939651930000389e+56	3.072749395853159296e+52	5.679823402919999264e+51	6.511292843499998732e+51
3.400000000000000244e-02	1.967114096802032153e+57	3.341680101044200079e+56	2.873613628269999885e+56	2.957158955955299897e+52	5.789133899017000151e+51	6.715178071399998240e+51
3.500000000000000333e-02	1.903552615162069970e+57	3.382123098583900434e+56	2.949017003740000388e+56	2.850798163219800276e+52	5.856993749625999122e+51	6.902177572000000982e+51
3.599999999999999728e-02	1.843930487624819800e+57	3.403774730782000311e+56	3.018816448870000460e+56	2.752343110090000235e+52	5.887562904450999655e+51	7.076157909100002796e+51
3.699999999999999817e-02	1.787139145008640159e+57	3.408859556881600428e+56	3.083786229189999883e+56	2.659739152081000832e+52	5.885179421390000469e+51	7.238638513599999046e+51
3.799999999999999906e-02	1.732045968050699950e+57	3.399870628113699743e+56	3.143842305359999201e+56	2.570660283335999796e+52	5.854788491459998643e+51	7.388785569899998500e+51
3.899999999999999994e-02	1.677855280760999466e+57	3.379900214457799957e+56	3.198222716120000030e+56	2.483159668042001393e+52	5.802441514049999594e+51	7.523901917499999898e+51
4.000000000000000083e-02	1.624079013914999805e+57	3.352351175609899425e+56	3.246032060950000226e+56	2.395899588346999880e+52	5.734737082820000494e+51	7.640789458100001365e+51
4.100000000000000172e-02	1.570648395202499882e+57	3.320664466117299980e+56	3.286386693360000415e+56	2.308455019472000248e+52	5.658475290480000540e+51	7.736456998300000010e+51
4.200000000000000261e-02	1.515854829024199913e+57	3.283185327577499797e+56	3.313402602289999375e+56	2.218483130669999847e+52	5.572055445609998552e+51	7.796770586600001901e+51
4.299999999999999656e-02	1.435864733191000299e+57	3.177255140737900418e+56	3.255747758830000407e+56	2.094239118730000879e+52	5.376526823800000427e+51	7.660635311699999317e+51
4.399999999999999745e-02	1.365566722911901113e+57	3.084748876999299133e+56	3.200243756860000316e+56	1.985342368370055295e+52	5.207312277110001748e+51	7.529250606599999848e+51
4.499999999999999833e-02	1.309019290191246230e+57	3.028170859556704491e+56	3.174083078189999746e+56	1.895992673181965557e+52	5.099132539840185226e+51	7.463172408800001619e+51
4.599999999999999922e-02	1.262464200641730158e+57	3.003170199482305858e+56	3.171548504209999250e+56	1.820624566051053627e+52	5.044945449218761534e+51	7.448337364199998796e+51
4.700000000000000011e-02	1.223172912332776137e+57	3.003495790971495609e+56	3.184703854400000405e+56	1.755647753798343945e+52	5.035309055430340847e+51	7.466517379000001494e+51
4.800000000000000100e-02	1.188532847433462802e+57	3.020857634159240589e+56	3.204107172219999834e+56	1.697711257658973800e+52	5.057663835877301023e+51	7.497074052899998762e+51
4.900000000000000189e-02	1.155425990755046609e+57	3.043666686319319630e+56	3.218208995129999209e+56	1.642794483879043362e+52	5.093604693243638296e+51	7.514851120799997560e+51
5.000000000000000278e-02	1.119295901641227488e+57	3.054194288040629345e+56	3.210648775250000393e+56	1.584796676908189937e+52	5.113791674569729312e+51	7.483554332800000172e+51
5.050000000000000322e-02	1.099044936880904164e+57	3.049932853343681111e+56	3.194595429439999515e+56	1.553253529929750641e+52	5.109598584093248572e+51	7.440412225099998437e+51
5.099999999999999672e-02	1.079306406320168677e+57	3.046066650552120276e+56	3.176977717130001251e+56	1.522696123475149837e+52	5.107168497286709433e+51	7.394100171200000384e+51
5.149999999999999717e-02	1.061131683589028884e+57	3.047252605180725206e+56	3.161880687560000105e+56	1.494555350706610578e+52	5.114741957788661442e+51	7.354123843700001530e+51
5.199999999999999761e-02	1.045021451373301352e+57	3.056176802159402986e+56	3.151387879280000087e+56	1.469484240885980144e+52	5.137090919871929119e+51	7.325133334599999876e+51
5.249999999999999806e-02	1.031071807426766878e+57	3.073744737082666434e+56	3.146102185900000409e+56	1.447580928007700100e+52	5.175804324554399159e+51	7.308437913700001504e+51
5.299999999999999850e-02	1.019189432723843716e+57	3.099903676712748874e+56	3.145775255969998747e+56	1.428696543697200186e+52	5.230736749900601033e+51	7.303364941299999543e+51
5.349999999999999895e-02	1.009141878328156207e+57	3.133949174375818833e+56	3.149587714820000112e+56	1.412504109944699981e+52	5.300661968987699732e+51	7.307914853999999367e+51
5.399999999999999939e-02	1.000662142853895358e+57	3.174601966622552015e+56	3.156514446629999998e+56	1.398628418469599629e+52	5.383308577241801060e+51	7.319592914200001947e+51
5.449999999999999983e-02	9.934682906075899576e+56	3.220674129184319234e+56	3.165543559270000543e+56	1.386685506578300349e+52	5.476487751884998322e+51	7.336025114099999505e+51
5.500000000000000028e-02	9.873223845637401497e+56	3.270886709955819761e+56	3.175773305110000254e+56	1.376351369135000011e+52	5.577910242582798935e+51	7.355048453600002606e+51
5.550000000000000072e-02	9.820211030764400744e+56	3.324069417928180247e+56	3.186482897379999847e+56	1.367345058881499931e+52	5.685404575419300874e+51	7.374954387299999260e+51
5.600000000000000117e-02	9.773891514052598551e+56	3.379256570907070619e+56	3.197040242079999424e+56	1.359439044800900101e+52	5.797160637981000058e+51	7.394286405199999235e+51
5.650000000000000161e-02	9.733055478852900764e+56	3.435503124134380666e+56	3.207079333689999894e+56	1.352441428721200304e+52	5.911457396418001252e+51	7.412166614200003268e+51
5.700000000000000205e-02	9.696527041983900699e+56	3.492087176630940569e+56	3.216344472980001109e+56	1.346194825226000288e+52	6.026796386128001694e+51	7.427974929500001643e+51
5.750000000000000250e-02	9.663374214716101060e+56	3.548333422960859747e+56	3.224671890930000542e+56	1.340537399764999693e+52	6.141914804100001252e+51	7.441356952500001232e+51
5.800000000000000294e-02	9.633167653051800486e+56	3.603792874403529519e+56	3.232059549029999860e+56	1.335387990932000449e+52	6.255820843281998319e+51	7.452236545499996912e+51
5.850000000000000339e-02	9.605009972631900386e+56	3.658050822162539838e+56	3.238403078730000152e+56	1.330601699768999608e+52	6.367644631910000823e+51	7.460401219600000596e+51
5.899999999999999689e-02	9.578500558518402643e+56	3.710732064954540293e+56	3.243661843710000057e+56	1.326074816186999798e+52	6.476677506621999549e+51	7.465724970800000118e+51
5.949999999999999734e-02	9.553198053261297846e+56	3.761658975424109878e+56	3.247970159950000372e+56	1.321743987024999466e+52	6.582389088722998694e+51	7.468535240099999912e+51
5.999999999999999778e-02	9.528930652293995574e+56	3.810696586997779043e+56	3.251240561700000668e+56	1.317545585164999920e+52	6.684489832205001678e+51	7.468642170000001567e+51
6.099999999999999867e-02	9.482454248548600910e+56	3.902986946225100626e+56	3.254961698449999962e+56	1.309393187484000211e+52	6.877418360618000669e+51	7.461518113199999900e+51
6.199999999999999956e-02	9.438582388329795846e+56	3.988016296750499976e+56	3.255152420020000168e+56	1.301563562202000039e+52	7.056089954731000302e+51	7.445410127400004420e+51
6.300000000000000044e-02	9.397869481894999015e+56	4.066976578877600911e+56	3.252225105169999794e+56	1.294260505330999787e+52	7.222995171784999477e+51	7.421766409900000907e+51
6.400000000000000133e-02	9.361400996717402981e+56	4.141437649310400503e+56	3.246887943949999899e+56	1.287809187188999966e+52	7.381386914799999569e+51	7.392763223999999735e+51
6.500000000000000222e-02	9.330306444772599699e+56	4.212709409252899516e+56	3.239905290190000584e+56	1.282507114077999755e+52	7.534030644268001026e+51	7.360511150899999437e+51
6.600000000000000311e-02	9.305105069310296058e+56	4.281625855790899236e+56	3.232086281530000257e+56	1.278497811238000130e+52	7.682506930028999786e+51	7.327102108299998021e+51
6.700000000000000400e-02	9.285420140334301480e+56	4.348105430650901641e+56	3.223896082079999133e+56	1.275700557806999874e+52	7.826610358449999789e+51	7.293666124599999478e+51
6.800000000000000488e-02	9.269743569420598574e+56	4.411737248762598364e+56	3.215597174819999736e+56	1.273834333458999933e+52	7.965279771195999855e+51	7.260778823600000789e+51
6.900000000000000577e-02	9.256316155673995554e+56	4.472051121926298575e+56	3.207215228800000604e+56	1.272508136617000184e+52	8.097396050327001683e+51	7.228419561600000952e+51
7.000000000000000666e-02	9.243654482274100954e+56	4.528789164352700322e+56	3.198760229094999998e+56	1.271423986122999444e+52	8.222295302232000763e+51	7.196490164400000975e+51
