1.0000e-03    1.0294e-03    4.5957e-04
1.0294e-03    1.0598e-03    4.7310e-04
1.0598e-03    1.0910e-03    4.8702e-04
1.0910e-03    1.1231e-03    5.0136e-04
1.1231e-03    1.1561e-03    5.1612e-04
1.1561e-03    1.1902e-03    5.3131e-04
1.1902e-03    1.2252e-03    5.4695e-04
1.2252e-03    1.2613e-03    5.6304e-04
1.2613e-03    1.2984e-03    5.7962e-04
1.2984e-03    1.3367e-03    5.9668e-04
1.3367e-03    1.3760e-03    6.1424e-04
1.3760e-03    1.4165e-03    6.3231e-04
1.4165e-03    1.4582e-03    6.5092e-04
1.4582e-03    1.5012e-03    6.7008e-04
1.5012e-03    1.5454e-03    6.8980e-04
1.5454e-03    1.5909e-03    7.1010e-04
1.5909e-03    1.6377e-03    7.3100e-04
1.6377e-03    1.6859e-03    7.5252e-04
1.6859e-03    1.7356e-03    7.7466e-04
1.7356e-03    1.7867e-03    7.9746e-04
1.7867e-03    1.8393e-03    8.2093e-04
1.8393e-03    1.8934e-03    8.4509e-04
1.8934e-03    1.9492e-03    8.6996e-04
1.9492e-03    2.0065e-03    8.9556e-04
2.0065e-03    2.0656e-03    9.2191e-04
2.0656e-03    2.1264e-03    9.4904e-04
2.1264e-03    2.1890e-03    9.7697e-04
2.1890e-03    2.2535e-03    1.0057e-03
2.2535e-03    2.3198e-03    1.0353e-03
2.3198e-03    2.3882e-03    1.0658e-03
2.3882e-03    2.4585e-03    1.0971e-03
2.4585e-03    2.5308e-03    1.1294e-03
2.5308e-03    2.6054e-03    1.1627e-03
2.6054e-03    2.6821e-03    1.1969e-03
2.6821e-03    2.7610e-03    1.2321e-03
2.7610e-03    2.8423e-03    1.2683e-03
2.8423e-03    2.9260e-03    1.3057e-03
2.9260e-03    3.0122e-03    1.3441e-03
3.0122e-03    3.1008e-03    1.3836e-03
3.1008e-03    3.1921e-03    1.4243e-03
3.1921e-03    3.2861e-03    1.4662e-03
3.2861e-03    3.3829e-03    1.5094e-03
