1.0000e-03    1.0280e-03    2.3496e-03
1.0280e-03    1.0568e-03    2.4154e-03
1.0568e-03    1.0864e-03    2.4830e-03
1.0864e-03    1.1169e-03    2.5525e-03
1.1169e-03    1.1482e-03    2.6240e-03
1.1482e-03    1.1803e-03    2.6974e-03
1.1803e-03    1.2134e-03    2.7729e-03
1.2134e-03    1.2474e-03    2.8506e-03
1.2474e-03    1.2823e-03    2.9304e-03
1.2823e-03    1.3183e-03    3.0124e-03
1.3183e-03    1.3552e-03    3.0967e-03
1.3552e-03    1.3932e-03    3.1834e-03
1.3932e-03    1.4322e-03    3.2725e-03
1.4322e-03    1.4723e-03    3.3641e-03
1.4723e-03    1.5136e-03    3.4583e-03
1.5136e-03    1.5560e-03    3.5551e-03
1.5560e-03    1.5996e-03    3.6546e-03
1.5996e-03    1.6444e-03    3.7569e-03
1.6444e-03    1.6904e-03    3.8620e-03
1.6904e-03    1.7378e-03    3.9701e-03
1.7378e-03    1.7865e-03    4.0812e-03
1.7865e-03    1.8365e-03    4.1955e-03
1.8365e-03    1.8880e-03    4.3129e-03
1.8880e-03    1.9409e-03    4.4336e-03
1.9409e-03    1.9953e-03    4.5576e-03
1.9953e-03    2.0512e-03    4.6852e-03
2.0512e-03    2.1086e-03    4.8163e-03
2.1086e-03    2.1677e-03    4.9510e-03
2.1677e-03    2.2284e-03    5.0896e-03
2.2284e-03    2.2909e-03    5.2320e-03
2.2909e-03    2.3550e-03    5.3784e-03
2.3550e-03    2.4210e-03    5.5288e-03
2.4210e-03    2.4889e-03    5.6835e-03
2.4889e-03    2.5586e-03    5.8425e-03
2.5586e-03    2.6303e-03    6.0060e-03
2.6303e-03    2.7040e-03    6.1740e-03
2.7040e-03    2.7797e-03    6.3467e-03
2.7797e-03    2.8576e-03    6.5243e-03
2.8576e-03    2.9376e-03    6.7068e-03
2.9376e-03    3.0200e-03    6.8945e-03
3.0200e-03    3.1046e-03    7.0873e-03
3.1046e-03    3.1915e-03    7.2855e-03
3.1915e-03    3.2810e-03    7.4893e-03
3.2810e-03    3.3729e-03    7.6988e-03
3.3729e-03    3.4674e-03    7.9141e-03
3.4674e-03    3.5645e-03    8.1354e-03
3.5645e-03    3.6644e-03    8.3629e-03
3.6644e-03    3.7670e-03    8.5967e-03
3.7670e-03    3.8726e-03    8.8371e-03
3.8726e-03    3.9811e-03    9.0842e-03
3.9811e-03    4.0926e-03    9.3381e-03
4.0926e-03    4.2073e-03    9.5992e-03
4.2073e-03    4.3251e-03    9.8675e-03
4.3251e-03    4.4463e-03    1.0143e-02
4.4463e-03    4.5709e-03    1.0427e-02
4.5709e-03    4.6989e-03    1.0718e-02
4.6989e-03    4.8306e-03    1.1018e-02
4.8306e-03    4.9659e-03    1.1326e-02
4.9659e-03    5.1050e-03    1.1642e-02
5.1050e-03    5.2481e-03    1.1968e-02
5.2481e-03    5.3951e-03    1.2302e-02
5.3951e-03    5.5463e-03    1.2646e-02
5.5463e-03    5.7016e-03    1.2999e-02
5.7016e-03    5.8614e-03    1.3362e-02
5.8614e-03    6.0256e-03    1.3735e-02
6.0256e-03    6.1944e-03    1.4119e-02
6.1944e-03    6.3680e-03    1.4513e-02
6.3680e-03    6.5464e-03    1.4918e-02
6.5464e-03    6.7298e-03    1.5335e-02
6.7298e-03    6.9183e-03    1.5763e-02
6.9183e-03    7.1121e-03    1.6203e-02
7.1121e-03    7.3114e-03    1.6655e-02
7.3114e-03    7.5162e-03    1.7120e-02
7.5162e-03    7.7268e-03    1.7598e-02
7.7268e-03    7.9433e-03    1.8089e-02
7.9433e-03    8.1658e-03    1.8594e-02
8.1658e-03    8.3946e-03    1.9112e-02
8.3946e-03    8.6298e-03    1.9645e-02
8.6298e-03    8.8716e-03    2.0193e-02
8.8716e-03    9.1201e-03    2.0756e-02
9.1201e-03    9.3756e-03    2.1334e-02
9.3756e-03    9.6383e-03    2.1928e-02
9.6383e-03    9.9083e-03    2.2539e-02
9.9083e-03    1.0186e-02    2.3167e-02
1.0186e-02    1.0471e-02    2.3813e-02
1.0471e-02    1.0765e-02    2.4476e-02
1.0765e-02    1.1066e-02    2.5157e-02
1.1066e-02    1.1376e-02    2.5858e-02
1.1376e-02    1.1695e-02    2.6578e-02
1.1695e-02    1.2023e-02    2.7318e-02
1.2023e-02    1.2359e-02    2.8078e-02
1.2359e-02    1.2706e-02    2.8859e-02
1.2706e-02    1.3062e-02    2.9662e-02
1.3062e-02    1.3428e-02    3.0487e-02
1.3428e-02    1.3804e-02    3.1335e-02
1.3804e-02    1.4191e-02    3.2206e-02
1.4191e-02    1.4588e-02    3.3102e-02
1.4588e-02    1.4997e-02    3.4022e-02
1.4997e-02    1.5417e-02    3.4968e-02
1.5417e-02    1.5849e-02    3.5940e-02
1.5849e-02    1.6293e-02    3.6939e-02
1.6293e-02    1.6749e-02    3.7965e-02
1.6749e-02    1.7219e-02    3.9020e-02
1.7219e-02    1.7701e-02    4.0104e-02
1.7701e-02    1.8197e-02    4.1217e-02
1.8197e-02    1.8707e-02    4.2361e-02
