1.0000e-03    1.1441e-03    2.2490e-03
1.1441e-03    1.3089e-03    2.5727e-03
1.3089e-03    1.4975e-03    2.9429e-03
1.4975e-03    1.7132e-03    3.3664e-03
1.7132e-03    1.9600e-03    3.8508e-03
1.9600e-03    2.2424e-03    4.4049e-03
2.2424e-03    2.5654e-03    5.0385e-03
2.5654e-03    2.9350e-03    5.3264e-03
2.9350e-03    3.3578e-03    6.0883e-03
3.3578e-03    3.8416e-03    6.9636e-03
3.8416e-03    4.3950e-03    7.9436e-03
4.3950e-03    5.0282e-03    8.8916e-03
5.0282e-03    5.7526e-03    1.0169e-02
5.7526e-03    6.5813e-03    1.1629e-02
6.5813e-03    7.5295e-03    1.3299e-02
7.5295e-03    8.6142e-03    1.5208e-02
8.6142e-03    9.8552e-03    1.7390e-02
9.8552e-03    1.1275e-02    1.9884e-02
1.1275e-02    1.2899e-02    2.2734e-02
1.2899e-02    1.4758e-02    2.7253e-02
1.4758e-02    1.6884e-02    3.1209e-02
1.6884e-02    1.9316e-02    3.5674e-02
1.9316e-02    2.2099e-02    4.0819e-02
2.2099e-02    2.5283e-02    4.7246e-02
2.5283e-02    2.8925e-02    5.3990e-02
2.8925e-02    3.3092e-02    6.1690e-02
3.3092e-02    3.7860e-02    7.0478e-02
3.7860e-02    4.3314e-02    8.0497e-02
4.3314e-02    4.9554e-02    9.2328e-02
4.9554e-02    5.6693e-02    1.0549e-01
5.6693e-02    6.4861e-02    1.2042e-01
6.4861e-02    7.4205e-02    1.3742e-01
7.4205e-02    8.4895e-02    1.6205e-01
8.4895e-02    9.7126e-02    1.8547e-01
9.7126e-02    1.1112e-01    2.1142e-01
1.1112e-01    1.2713e-01    2.1918e-01
1.2713e-01    1.4544e-01    2.5050e-01
1.4544e-01    1.6639e-01    2.8516e-01
1.6639e-01    1.9037e-01    3.6088e-01
1.9037e-01    2.1779e-01    4.0235e-01
2.1779e-01    2.4917e-01    4.5765e-01
2.4917e-01    2.8506e-01    5.0421e-01
2.8506e-01    3.2613e-01    5.4398e-01
3.2613e-01    3.7312e-01    6.1051e-01
3.7312e-01    4.2687e-01    6.4946e-01
4.2687e-01    4.8837e-01    7.2609e-01
4.8837e-01    5.5872e-01    8.0305e-01
5.5872e-01    6.3922e-01    9.0292e-01
6.3922e-01    7.3130e-01    1.0069e+00
7.3130e-01    8.3666e-01    1.1547e+00
8.3666e-01    9.5719e-01    1.3035e+00
9.5719e-01    1.0951e+00    1.4703e+00
1.0951e+00    1.2529e+00    1.6600e+00
1.2529e+00    1.4334e+00    1.8761e+00
1.4334e+00    1.6398e+00    2.1136e+00
1.6398e+00    1.8761e+00    2.3753e+00
1.8761e+00    2.1464e+00    2.6667e+00
2.1464e+00    2.4556e+00    2.9903e+00
2.4556e+00    2.8094e+00    3.3484e+00
2.8094e+00    3.2141e+00    3.5183e+00
3.2141e+00    3.6771e+00    3.2184e+00
3.6771e+00    4.2069e+00    3.2146e+00
4.2069e+00    4.8130e+00    3.4978e+00
4.8130e+00    5.5063e+00    3.6866e+00
5.5063e+00    6.2996e+00    3.6667e+00
6.2996e+00    7.2072e+00    3.8704e+00
7.2072e+00    8.2455e+00    4.1676e+00
8.2455e+00    9.4334e+00    4.1818e+00
9.4334e+00    1.0792e+01    4.4043e+00
1.0792e+01    1.2347e+01    4.2973e+00
1.2347e+01    1.4126e+01    4.1717e+00
1.4126e+01    1.6161e+01    4.1181e+00
1.6161e+01    1.8489e+01    4.0096e+00
1.8489e+01    2.1153e+01    3.6503e+00
2.1153e+01    2.4200e+01    3.5597e+00
2.4200e+01    2.7687e+01    3.1077e+00
2.7687e+01    3.1676e+01    3.0108e+00
3.1676e+01    3.6239e+01    2.6725e+00
3.6239e+01    4.1460e+01    2.4262e+00
4.1460e+01    4.7433e+01    2.0236e+00
4.7433e+01    5.4266e+01    1.8075e+00
5.4266e+01    6.2084e+01    1.5839e+00
6.2084e+01    7.1028e+01    1.2991e+00
7.1028e+01    8.1261e+01    1.1016e+00
8.1261e+01    9.2968e+01    8.4923e-01
9.2968e+01    1.0636e+02    7.8509e-01
1.0636e+02    1.2168e+02    5.6562e-01
1.2168e+02    1.3922e+02    4.8081e-01
1.3922e+02    1.5927e+02    3.7012e-01
1.5927e+02    1.8222e+02    3.2268e-01
1.8222e+02    2.0847e+02    2.2793e-01
2.0847e+02    2.3850e+02    1.9538e-01
2.3850e+02    2.7286e+02    1.4871e-01
2.7286e+02    3.1217e+02    1.2099e-01
3.1217e+02    3.5714e+02    9.0760e-02
3.5714e+02    4.0860e+02    7.2145e-02
4.0860e+02    4.6746e+02    5.4024e-02
4.6746e+02    5.3481e+02    4.0446e-02
5.3481e+02    6.1185e+02    2.9764e-02
6.1185e+02    7.0000e+02    2.1258e-02
