1.0000e-03    1.1344e-03    1.0155e-02
1.1344e-03    1.2869e-03    1.1517e-02
1.2869e-03    1.4599e-03    1.3062e-02
1.4599e-03    1.6561e-03    1.4813e-02
1.6561e-03    1.8787e-03    1.6798e-02
1.8787e-03    2.1312e-03    1.9049e-02
2.1312e-03    2.4177e-03    2.1601e-02
2.4177e-03    2.7426e-03    2.4494e-02
2.7426e-03    3.1113e-03    2.7773e-02
3.1113e-03    3.5295e-03    3.1490e-02
3.5295e-03    4.0039e-03    3.5702e-02
4.0039e-03    4.5421e-03    4.0476e-02
4.5421e-03    5.1526e-03    4.7624e-02
5.1526e-03    5.8452e-03    5.5392e-02
5.8452e-03    6.6308e-03    6.2784e-02
6.6308e-03    7.5221e-03    7.1158e-02
7.5221e-03    8.5332e-03    8.0641e-02
8.5332e-03    9.6801e-03    9.1379e-02
9.6801e-03    1.0981e-02    1.0354e-01
1.0981e-02    1.2457e-02    1.1730e-01
1.2457e-02    1.4132e-02    1.3287e-01
1.4132e-02    1.6031e-02    1.5047e-01
1.6031e-02    1.8186e-02    1.7133e-01
1.8186e-02    2.0630e-02    1.9414e-01
2.0630e-02    2.3403e-02    2.1973e-01
2.3403e-02    2.6549e-02    2.4865e-01
2.6549e-02    3.0118e-02    2.8954e-01
3.0118e-02    3.4166e-02    3.3281e-01
3.4166e-02    3.8758e-02    3.7618e-01
3.8758e-02    4.3968e-02    4.0029e-01
4.3968e-02    4.9878e-02    4.2038e-01
4.9878e-02    5.6582e-02    4.7455e-01
5.6582e-02    6.4187e-02    5.5923e-01
6.4187e-02    7.2815e-02    7.0170e-01
7.2815e-02    8.2602e-02    7.9175e-01
8.2602e-02    9.3705e-02    8.9300e-01
9.3705e-02    1.0630e-01    9.5363e-01
1.0630e-01    1.2059e-01    9.7402e-01
1.2059e-01    1.3680e-01    1.0862e+00
1.3680e-01    1.5518e-01    1.1109e+00
1.5518e-01    1.7604e-01    1.2523e+00
1.7604e-01    1.9971e-01    1.4065e+00
1.9971e-01    2.2655e-01    1.5787e+00
2.2655e-01    2.5700e-01    1.7706e+00
2.5700e-01    2.9154e-01    2.0230e+00
2.9154e-01    3.3073e-01    2.2744e+00
3.3073e-01    3.7519e-01    2.5444e+00
3.7519e-01    4.2562e-01    2.8441e+00
4.2562e-01    4.8282e-01    3.1766e+00
4.8282e-01    5.4772e-01    3.5466e+00
5.4772e-01    6.2134e-01    3.9600e+00
6.2134e-01    7.0486e-01    4.4104e+00
7.0486e-01    7.9960e-01    4.9072e+00
7.9960e-01    9.0708e-01    5.4527e+00
9.0708e-01    1.0290e+00    6.0469e+00
1.0290e+00    1.1673e+00    6.3269e+00
1.1673e+00    1.3242e+00    5.4302e+00
1.3242e+00    1.5022e+00    4.9098e+00
1.5022e+00    1.7041e+00    5.1484e+00
1.7041e+00    1.9332e+00    5.5817e+00
1.9332e+00    2.1930e+00    6.0002e+00
2.1930e+00    2.4878e+00    6.3945e+00
2.4878e+00    2.8222e+00    6.9929e+00
2.8222e+00    3.2015e+00    7.0440e+00
3.2015e+00    3.6319e+00    7.2040e+00
3.6319e+00    4.1200e+00    7.0288e+00
4.1200e+00    4.6738e+00    6.7991e+00
4.6738e+00    5.3020e+00    6.0207e+00
5.3020e+00    6.0147e+00    6.0954e+00
6.0147e+00    6.8231e+00    5.6900e+00
6.8231e+00    7.7403e+00    5.0273e+00
7.7403e+00    8.7807e+00    5.0735e+00
8.7807e+00    9.9609e+00    4.2267e+00
9.9609e+00    1.1300e+01    3.9117e+00
1.1300e+01    1.2819e+01    3.6671e+00
1.2819e+01    1.4542e+01    2.9158e+00
1.4542e+01    1.6496e+01    2.6473e+00
1.6496e+01    1.8713e+01    2.2145e+00
1.8713e+01    2.1229e+01    1.6511e+00
2.1229e+01    2.4082e+01    1.6509e+00
2.4082e+01    2.7319e+01    1.0778e+00
2.7319e+01    3.0991e+01    9.4986e-01
3.0991e+01    3.5157e+01    7.1233e-01
3.5157e+01    3.9882e+01    6.1688e-01
3.9882e+01    4.5243e+01    4.1202e-01
4.5243e+01    5.1324e+01    3.3779e-01
5.1324e+01    5.8223e+01    2.4349e-01
5.8223e+01    6.6049e+01    1.9571e-01
6.6049e+01    7.4927e+01    1.2917e-01
7.4927e+01    8.4998e+01    1.0160e-01
8.4998e+01    9.6423e+01    6.8480e-02
9.6423e+01    1.0938e+02    4.5494e-02
1.0938e+02    1.2409e+02    2.9132e-02
1.2409e+02    1.4076e+02    1.6933e-02
1.4076e+02    1.5969e+02    9.4433e-03
1.5969e+02    1.8115e+02    4.3660e-03
1.8115e+02    2.0550e+02    1.6093e-03
2.0550e+02    2.3312e+02    3.6302e-04
2.3312e+02    2.6445e+02    2.0065e-05
2.6445e+02    3.0000e+02    9.2064e-05
