E_nu nue anue nux
2.000000e+01 4.714888e+55 6.027460e+55 4.912782e+55
2.020000e+01 4.554418e+55 5.911641e+55 4.869731e+55
2.040000e+01 4.398662e+55 5.797136e+55 4.826070e+55
2.060000e+01 4.247515e+55 5.683526e+55 4.781848e+55
2.080000e+01 4.100884e+55 5.570993e+55 4.737093e+55
2.100000e+01 3.958677e+55 5.459863e+55 4.691877e+55
2.120000e+01 3.820799e+55 5.350008e+55 4.646226e+55
2.140000e+01 3.687155e+55 5.241461e+55 4.600181e+55
2.160000e+01 3.575650e+55 5.134255e+55 4.553780e+55
2.180000e+01 3.449424e+55 5.028416e+55 4.507061e+55
2.200000e+01 3.327196e+55 4.923968e+55 4.460061e+55
2.220000e+01 3.208846e+55 4.820955e+55 4.412814e+55
2.240000e+01 3.094279e+55 4.719352e+55 4.365367e+55
2.260000e+01 2.967649e+55 4.619197e+55 4.317728e+55
2.280000e+01 2.861108e+55 4.520488e+55 4.269942e+55
2.300000e+01 2.758027e+55 4.423271e+55 4.222037e+55
2.320000e+01 2.658329e+55 4.327538e+55 4.174044e+55
2.340000e+01 2.561915e+55 4.233295e+55 4.125990e+55
2.360000e+01 2.468698e+55 4.140549e+55 4.077903e+55
2.380000e+01 2.378589e+55 4.049303e+55 4.029809e+55
2.400000e+01 2.291500e+55 3.959557e+55 3.981733e+55
2.420000e+01 2.207260e+55 3.871312e+55 3.933698e+55
2.440000e+01 2.126044e+55 3.784581e+55 3.885728e+55
2.460000e+01 2.057139e+55 3.699318e+55 3.837846e+55
2.480000e+01 1.980819e+55 3.615561e+55 3.790071e+55
2.500000e+01 1.907129e+55 3.533292e+55 3.742424e+55
2.520000e+01 1.835991e+55 3.452502e+55 3.694924e+55
2.540000e+01 1.767327e+55 3.373184e+55 3.647590e+55
2.560000e+01 1.701061e+55 3.295329e+55 3.600439e+55
2.580000e+01 1.637119e+55 3.218926e+55 3.553489e+55
2.600000e+01 1.575429e+55 3.143966e+55 3.506754e+55
2.620000e+01 1.515921e+55 3.070436e+55 3.460250e+55
2.640000e+01 1.458523e+55 2.998323e+55 3.413992e+55
2.660000e+01 1.403173e+55 2.927615e+55 3.367992e+55
2.680000e+01 1.349804e+55 2.858298e+55 3.322264e+55
2.700000e+01 1.298350e+55 2.790357e+55 3.276821e+55
2.720000e+01 1.248750e+55 2.723777e+55 3.231674e+55
2.740000e+01 1.200940e+55 2.658543e+55 3.186833e+55
2.760000e+01 1.154867e+55 2.594638e+55 3.142309e+55
2.780000e+01 1.110471e+55 2.532047e+55 3.098111e+55
2.800000e+01 1.067696e+55 2.470752e+55 3.054250e+55
2.820000e+01 1.026488e+55 2.410736e+55 3.010732e+55
2.840000e+01 9.867927e+54 2.351983e+55 2.967566e+55
2.860000e+01 9.485603e+54 2.294495e+55 2.924760e+55
2.880000e+01 9.117407e+54 2.238212e+55 2.882320e+55
2.900000e+01 8.762854e+54 2.183136e+55 2.840100e+55
2.920000e+01 8.421477e+54 2.129253e+55 2.798414e+55
2.940000e+01 8.092819e+54 2.076541e+55 2.757252e+55
2.960000e+01 7.776439e+54 2.024985e+55 2.716347e+55
2.980000e+01 7.471910e+54 1.974563e+55 2.675815e+55
3.000000e+01 7.178816e+54 1.925242e+55 2.635692e+55
3.020000e+01 6.896756e+54 1.877036e+55 2.595971e+55
3.040000e+01 6.625339e+54 1.829909e+55 2.556654e+55
3.060000e+01 6.364190e+54 1.783843e+55 2.517745e+55
3.080000e+01 6.112942e+54 1.738822e+55 2.479247e+55
3.100000e+01 5.871241e+54 1.694850e+55 2.441163e+55
3.120000e+01 5.638747e+54 1.651891e+55 2.403493e+55
3.140000e+01 5.415127e+54 1.609830e+55 2.366239e+55
3.160000e+01 5.200060e+54 1.568796e+55 2.329403e+55
3.180000e+01 4.993240e+54 1.528715e+55 2.292987e+55
3.200000e+01 4.794363e+54 1.489567e+55 2.256990e+55
3.220000e+01 4.603140e+54 1.451335e+55 2.221413e+55
