time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
-0.05 	 0.0050000000000000044 	 31.246666666666666 	 30.933333333333334 	 5.827448460137211 	 5.756928193248741
-0.045 	 0.005000000000000001 	 31.883333333333333 	 31.56 	 5.5428382220262895 	 5.468674428049269
-0.04 	 0.0049999999999999975 	 29.303333333333335 	 29.013333333333332 	 5.42813555058784 	 5.403069086690967
-0.035 	 0.005000000000000001 	 27.233333333333334 	 26.886666666666667 	 5.240122984137766 	 5.174342685039543
-0.03 	 0.005000000000000001 	 25.716666666666665 	 25.32 	 5.054013806427082 	 5.013741118167152
-0.025 	 0.004999999999999999 	 22.053333333333335 	 21.686666666666667 	 4.721986399340383 	 4.6842098823838185
-0.02 	 0.005000000000000001 	 19.576666666666668 	 19.233333333333334 	 4.141351094617419 	 4.064343598773225
-0.015 	 0.005 	 16.826666666666668 	 16.543333333333333 	 4.380634149932582 	 4.35294408673282
-0.01 	 0.004999999999999999 	 15.14 	 14.863333333333333 	 3.7318985338118003 	 3.7235273002296565
-0.005 	 0.005 	 15.986666666666666 	 15.7 	 3.8270731491426826 	 3.7934153476781316
0.0 	 0.003 	 19.486666666666668 	 19.25 	 4.17090983945816 	 4.13692720103541
0.001 	 0.001 	 20.343333333333334 	 20.02 	 4.412722767433076 	 4.330465717833746
0.002 	 0.001 	 22.096666666666668 	 21.796666666666667 	 4.839489183328707 	 4.759760731614796
0.003 	 0.001 	 23.95 	 23.67 	 5.1524266127718885 	 5.153746210282381
0.004 	 0.001 	 26.35 	 25.986666666666668 	 5.213524080056918 	 5.183932441260742
0.005 	 0.001 	 28.48 	 28.1 	 5.403356981235523 	 5.385474290471856
0.006 	 0.001 	 31.563333333333333 	 31.113333333333333 	 5.747984187715048 	 5.6985807199882865
0.007 	 0.001 	 35.513333333333335 	 35.1 	 6.156553870109117 	 6.164684366075309
0.008 	 0.0009999999999999996 	 38.71 	 38.166666666666664 	 6.077217016584702 	 6.041982750352368
0.009 	 0.001 	 43.406666666666666 	 42.89 	 6.5950452782541396 	 6.5557531985272295
0.01 	 0.001 	 49.593333333333334 	 48.876666666666665 	 6.991992245101217 	 6.93071344732192
0.011 	 0.001 	 54.946666666666665 	 54.22666666666667 	 7.891587644799718 	 7.776585940429701
0.012 	 0.001 	 63.02333333333333 	 62.2 	 8.083076284572737 	 8.054812226240907
0.013 	 0.001 	 71.76666666666667 	 70.96 	 8.419356005987368 	 8.356937238007715
