time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
-0.05 	 0.0050000000000000044 	 30.906666666666666 	 30.643333333333334 	 5.499511089380785 	 5.50358569984656
-0.045 	 0.005000000000000001 	 31.886666666666667 	 31.523333333333333 	 5.549218163148951 	 5.497525706068948
-0.04 	 0.0049999999999999975 	 29.94333333333333 	 29.59 	 5.072158208187999 	 5.031424582892337
-0.035 	 0.005000000000000001 	 27.496666666666666 	 27.173333333333332 	 5.2810973186345365 	 5.25388321995159
-0.03 	 0.005000000000000001 	 24.64 	 24.323333333333334 	 5.0817057503689975 	 5.063475969024529
-0.025 	 0.004999999999999999 	 22.14 	 21.8 	 4.716679623068187 	 4.719463246316612
-0.02 	 0.005000000000000001 	 19.55 	 19.256666666666668 	 4.478932164404071 	 4.471106002868741
-0.015 	 0.005 	 17.05666666666667 	 16.753333333333334 	 4.164147238297684 	 4.0545228517737515
-0.01 	 0.004999999999999999 	 15.53 	 15.29 	 3.94999156117242 	 3.9216365631370453
-0.005 	 0.005 	 15.47 	 15.213333333333333 	 3.857775697644088 	 3.847226995584684
0.0 	 0.003 	 20.036666666666665 	 19.713333333333335 	 4.624787082186114 	 4.527452067357778
0.001 	 0.001 	 21.106666666666666 	 20.803333333333335 	 4.473844978191454 	 4.487537062675793
0.002 	 0.001 	 21.786666666666665 	 21.453333333333333 	 4.706855520290472 	 4.598676138001264
0.003 	 0.001 	 24.156666666666666 	 23.773333333333333 	 4.924644375203373 	 4.86024233506474
0.004 	 0.001 	 26.35333333333333 	 25.966666666666665 	 5.254378068705076 	 5.188984058132725
0.005 	 0.001 	 28.34 	 27.98 	 5.384335304071122 	 5.3397503062721325
0.006 	 0.001 	 31.203333333333333 	 30.756666666666668 	 5.459119790670368 	 5.406550553623713
0.007 	 0.001 	 35.13333333333333 	 34.693333333333335 	 6.28667020148363 	 6.256672882255836
0.008 	 0.0009999999999999996 	 38.93333333333333 	 38.36666666666667 	 6.636933696285423 	 6.5715717720767195
0.009 	 0.001 	 43.553333333333335 	 42.95666666666666 	 6.76218570844927 	 6.677932980263345
0.01 	 0.001 	 48.78666666666667 	 48.26 	 6.85233455757152 	 6.875007878783364
0.011 	 0.001 	 55.846666666666664 	 55.126666666666665 	 7.492873651380728 	 7.538166591125163
0.012 	 0.001 	 63.0 	 62.196666666666665 	 8.202438661763951 	 8.170556216616399
0.013 	 0.001 	 70.93333333333334 	 70.11333333333333 	 9.020470546977517 	 8.93721557433982
0.014 	 0.001 	 81.71333333333334 	 80.73 	 9.054896772219745 	 8.966814744750035
0.015 	 0.001 	 95.02666666666667 	 93.79333333333334 	 8.915489641940905 	 8.882414586636276
0.016 	 0.0010000000000000009 	 114.39333333333333 	 113.09333333333333 	 10.387747055492296 	 10.288081561798693
0.017 	 0.0009999999999999992 	 145.21666666666667 	 143.65 	 12.844832510477598 	 12.758036682812916
0.018 	 0.0009999999999999992 	 188.42333333333335 	 186.57666666666665 	 13.678113498903599 	 13.588627189267095
0.019 	 0.0010000000000000009 	 251.39666666666668 	 249.47 	 15.403440813301712 	 15.407436516176206
